index,Best Performance
557,0.76
558,0.95
559,0.6
560,0.77
561,0.99
562,0.97
563,0.68
564,0.94
565,0.57
566,0.93
567,0.9
568,0.65
569,0.89
570,0.99
571,0.8233333333333335
572,0.98
573,0.94
574,0.98
575,0.87
576,0.87
577,0.63
578,0.97
579,0.93
580,0.93
581,0.95
582,0.5
583,0.89
584,0.97
585,1.0
586,0.99
587,0.98
588,0.9
589,0.98
590,0.94
591,0.99
592,0.88
593,0.95
594,0.68
595,0.71
596,0.96
597,0.99
598,1.0
599,0.88
600,0.9
601,1.0
602,0.97
603,1.0
604,0.94
605,0.55
606,0.99
607,0.95
608,0.97
609,0.82
610,0.94
611,0.74
612,0.67
613,0.94
614,1.0
615,0.93
616,0.89
617,0.94
618,0.8
619,0.97
620,0.99
621,0.98
622,0.84
623,1.0
624,0.65
625,0.77
626,0.84
627,0.84
628,0.98
629,1.0
630,0.82
631,0.98
632,0.99
633,0.57
634,0.66
635,0.94
636,1.0
637,0.97
638,0.33
639,1.0
640,0.99
641,0.18
642,0.91
643,0.99
644,0.43
645,0.95
646,0.59
647,0.95
648,0.69
649,0.75
650,0.85
651,1.0
652,0.94
653,0.84
654,0.88
655,0.97
656,0.77
657,0.88
658,0.89
659,0.98
660,0.66
661,0.97
662,0.99
663,0.85
664,0.91
665,0.43
666,0.94
667,0.7
668,0.5
669,0.5
670,0.97
671,0.98
672,0.97
673,0.97
674,0.9
675,0.48
676,0.93
677,0.34
678,1.0
679,0.36
680,0.93
681,1.0
682,0.95
683,1.0
684,0.93
685,0.44
686,0.83
687,0.89
688,0.87
689,0.42
690,0.86
691,0.82
692,0.72
693,0.96
694,0.98
695,0.95
696,0.25
697,0.71
698,0.89
699,1.0
700,0.97
701,0.88
702,0.86
703,0.21
704,0.55
705,0.87
706,1.0
707,0.99
708,0.96
709,0.98
710,0.93
711,1.0
712,0.72
713,0.87
714,0.97
715,0.47
716,0.94
717,0.95
718,0.48
719,0.76
720,0.98
721,0.98
722,1.0
723,0.78
724,0.93
725,0.88
726,0.99
727,0.98
728,0.32
729,0.9
730,0.96
731,0.9
732,0.77
733,0.95
734,0.96
735,0.72
736,0.97
737,0.96
738,0.99
739,0.86
740,0.83
741,0.75
742,0.99
743,0.95
744,0.97
745,0.83
746,0.99
747,0.98
748,0.85
749,0.95
750,0.83
751,0.99
752,0.9
753,0.98
754,0.69
755,0.5
756,0.97
757,0.68
758,0.95
759,0.99
760,0.95
761,0.97
762,0.25
763,1.0
764,0.63
765,0.98
766,0.83
767,0.98
768,0.89
769,0.6
770,1.0
771,0.9
772,0.96
773,0.94
774,0.22
775,0.36
776,0.84
777,0.94
778,0.99
779,0.99
780,0.79
781,0.93
782,1.0
783,0.96
784,0.96
785,0.99
786,0.73
787,0.79
788,0.9666666666666667
789,0.98
790,0.99
791,0.95
792,0.95
793,0.96
794,0.96
795,0.77
796,0.69
797,0.95
798,1.0
799,0.95
800,0.29
801,0.74
802,0.95
803,0.88
804,0.95
805,0.96
806,0.79
807,0.75
808,0.99
809,1.0
810,1.0
811,0.79
812,0.34
813,0.64
814,0.88
815,0.99
816,0.4
817,0.29
818,0.86
819,0.87
820,1.0
821,0.49
822,0.98
823,0.97
824,0.92
825,0.94
826,0.87
827,0.95
828,0.98
829,1.0
830,0.6
831,0.99
832,0.86
833,1.0
834,0.97
835,0.78
836,0.18
837,0.95
838,0.99
839,0.99
840,0.93
841,0.97
842,0.83
843,0.69
844,0.98
845,1.0
846,0.76
847,0.87
848,0.86
849,0.84
850,0.9
851,0.95
852,0.83
853,0.9
854,0.99
855,0.93
856,0.71
857,0.67
858,1.0
859,1.0
860,0.85
861,0.88
862,0.97
863,0.91
864,0.99
865,0.97
866,0.64
867,1.0
868,0.85
869,0.97
870,0.98
871,0.99
872,0.77
873,0.93
874,1.0
875,0.86
876,0.99
877,0.98
878,1.0
879,0.41
880,0.99
881,0.93
882,0.96
883,0.9925
884,0.91
885,0.97
886,0.7
887,0.33
888,0.99
889,0.88
890,0.6
891,0.83
892,0.37
893,0.7
894,0.76
895,1.0
896,0.9
897,0.99
898,0.84
899,0.96
900,0.98
901,1.0
902,0.93
903,0.97
904,0.87
905,0.92
906,0.94
907,0.92
908,0.97
909,0.96
910,0.47
911,0.97
912,1.0
913,0.77
914,0.95
915,0.87
916,0.98
917,0.86
918,0.87
919,0.99
920,1.0
921,0.94
922,0.88
923,1.0
924,0.99
925,0.74
926,0.88
927,0.95
928,0.98
929,0.96
930,0.99
931,0.97
932,0.97
933,0.95
934,0.98
935,0.94
936,1.0
937,0.87
938,0.88
939,0.78
940,0.92
941,0.65
942,0.93
943,0.88
944,0.74
945,0.82
946,0.28
947,1.0
948,0.92
949,0.99
950,0.99
951,0.97
952,0.98
953,0.83
954,0.93
955,1.0
956,0.78
957,0.91
958,0.98
959,0.93
960,1.0
961,0.62
962,0.85
963,0.98
964,0.97
965,0.99
966,0.98
967,0.87
968,1.0
969,0.95
970,0.81
971,0.89
972,0.99
973,0.89
974,0.74
975,0.89
976,1.0
977,0.99
978,0.95
979,0.99
980,0.9106666666666666
981,0.98
982,0.92
983,0.6
984,0.87
985,0.99
986,0.94
987,0.96
988,0.9
989,0.7
990,0.94
991,0.86
992,0.64
993,0.93
994,0.84
995,0.93
996,0.93
997,0.98
998,0.77
999,0.74
1000,0.74
1001,0.86
1002,0.78
1003,0.96
1004,0.7
1005,0.85
1006,0.97
1007,1.0
1008,0.85
1009,0.56
1010,1.0
1011,0.98
1012,0.48
1013,0.96
1014,0.78
1015,0.95
1016,0.89
1017,0.98
1018,0.53
1019,0.9
1020,0.92
1021,0.98
1022,0.82
1023,0.84
1024,0.79
1025,0.89
1026,0.4
1027,0.96
1028,0.94
1029,0.96
1030,0.9
1031,0.98
1032,0.82
1033,0.84
1034,0.98
1035,0.97
1036,0.88
1037,0.68
1038,0.81
1039,1.0
1040,0.73
1041,0.93
1042,0.38
1043,1.0
1044,1.0
1045,0.9
1046,0.96
1047,0.85
1048,0.98
1049,0.95
1050,0.26
1051,0.92
1052,0.79
1053,0.44
1054,0.76
1055,0.94
1056,0.92
1057,0.55
1058,0.48
1059,0.74
1060,0.88
1061,0.98
1062,0.96
1063,0.92
1064,0.86
1065,0.84
1066,1.0
1067,0.86
1068,0.68
1069,0.84
1070,1.0
1071,0.86
1072,0.83
1073,0.94
1074,0.76
1075,0.99
1076,0.52
1077,0.92
1078,0.95
1079,0.99
1080,0.9
1081,1.0
1082,0.38
1083,0.97
1084,0.92
1085,1.0
1086,0.87
1087,0.89
1088,0.91
1089,0.89
1090,0.86
1091,0.96
1092,0.62
1093,0.77
1094,0.84
1095,0.96
1096,0.76
1097,0.98
1098,0.95
1099,0.43
1100,0.98
1101,0.77
1102,0.92
1103,0.8
1104,0.98
1105,1.0
1106,0.85
1107,0.96
1108,0.95
1109,0.99
1110,0.37
1111,0.87
1112,0.99
1113,0.99
1114,0.84
1115,0.79
1116,0.99
1117,1.0
1118,0.93
1119,0.91
1120,0.8
1121,0.77
1122,1.0
1123,0.98
1124,0.99
1125,0.91
1126,0.73
1127,0.96
1128,0.93
1129,1.0
1130,0.91
1131,1.0
1132,0.97
1133,0.86
1134,0.99
1135,0.96
1136,1.0
1137,0.92
1138,0.99
1139,0.85
1140,0.98
1141,0.94
1142,0.99
1143,0.99
1144,1.0
1145,1.0
1146,0.94
1147,0.97
1148,0.91
1149,0.99
1150,0.97
1151,1.0
1152,0.9
1153,0.9
1154,0.84
1155,0.85
1156,0.85
1157,1.0
1158,0.96
1159,0.46
1160,0.76
1161,0.91
1162,0.99
1163,0.97
1164,0.83
1165,1.0
1166,0.99
1167,1.0
1168,0.91
1169,0.34
1170,0.97
1171,0.78
1172,1.0
1173,0.45
1174,0.98
1175,0.84
1176,0.52
1177,0.72
1178,0.63
1179,0.92
1180,0.2803333333333333
1181,0.99
1182,1.0
1183,0.98
1184,0.98
1185,0.37
1186,0.83
1187,0.93
1188,0.93
1189,0.88
1190,0.81
1191,0.54
1192,0.79
1193,0.62
1194,0.96
1195,0.95
1196,0.98
1197,0.89
1198,0.98
1199,0.65
1200,0.99
1201,0.98
1202,0.95
1203,1.0
1204,0.97
1205,0.9
1206,0.8613333333333334
1207,0.51
1208,0.92
1209,0.85
1210,0.95
1211,0.69
1212,0.77
1213,0.91
1214,0.89
1215,0.99
1216,0.87
1217,0.87
1218,0.74
1219,0.64
1220,0.82
1221,0.98
1222,0.69
1223,0.8
1224,0.98
1225,0.91
1226,0.27
1227,0.87
1228,0.99
1229,0.89
1230,0.82
1231,0.94
1232,0.8
1233,0.98
1234,0.96
1235,0.96
1236,0.35
1237,0.74
1238,0.92
1239,0.92
1240,0.74
1241,0.49
1242,0.98
1243,0.9
1244,0.94
1245,0.21
1246,0.79
1247,0.98
1248,0.78
1249,0.71
1250,0.94
1251,0.94
1252,0.96
1253,0.76
1254,0.98
1255,0.94
1256,0.95
1257,0.8
1258,0.93
1259,0.99
1260,0.94
1261,0.47
1262,1.0
1263,0.85
1264,0.6536666666666667
1265,0.31
1266,0.63
1267,0.85
1268,0.99
1269,0.97
1270,0.88
1271,0.96
1272,0.81
1273,0.7
1274,0.97
1275,1.0
1276,0.64
1277,0.99
1278,0.7866666666666666
1279,1.0
1280,0.99
1281,0.95
1282,0.93
1283,1.0
1284,0.99
1285,0.83
1286,0.93
1287,0.96
1288,0.73
1289,0.89
1290,0.62
1291,0.85
1292,0.89
1293,0.76
1294,0.92
1295,0.97
1296,0.85
1297,0.88
1298,0.93
1299,0.74
1300,0.73
1301,0.64
1302,0.27
1303,0.46
1304,0.96
1305,0.82
1306,0.39
1307,0.98
1308,0.92
1309,0.49
1310,0.8
1311,0.75
1312,0.99
1313,0.85
1314,0.85
1315,0.89
1316,0.99
1317,1.0
1318,0.99
1319,0.91
1320,1.0
1321,0.89
1322,0.98
1323,0.97
1324,0.9
1325,0.96
1326,0.96
1327,1.0
1328,0.19
1329,0.38
1330,0.98
1331,0.77
1332,0.86
1333,0.84
1334,0.96
1335,0.3
1336,0.95
1337,0.93
1338,0.44
1339,0.97
1340,0.92
1341,0.84
1342,1.0
1343,0.9
1344,0.76
1345,0.99
1346,1.0
1347,0.92
1348,1.0
1349,0.975
1350,0.93
1351,0.95
1352,1.0
1353,0.86
1354,1.0
1355,0.99
1356,1.0
1357,0.95
1358,0.89
1359,0.88
1360,0.99
1361,0.89
1362,0.98
1363,0.99
1364,0.9
1365,0.94
1366,0.55
1367,0.56
1368,1.0
1369,0.99
1370,0.8
1371,1.0
1372,0.45
1373,0.56
1374,0.92
1375,0.92
1376,0.93
1377,0.25
1378,0.9
1379,0.69
1380,0.99
1381,0.87
1382,0.96
1383,0.97
1384,0.69
1385,0.86
1386,1.0
1387,0.92
1388,0.36
1389,0.91
1390,0.86
1391,0.98
1392,0.94
1393,0.99
1394,0.97
1395,0.98
1396,0.92
1397,0.83
1398,0.86
1399,0.77
1400,0.95
1401,0.98
1402,0.67
1403,0.93
1404,1.0
1405,0.84
1406,0.96
1407,0.93
1408,0.98
1409,0.97
1410,0.99
1411,1.0
1412,0.96
1413,0.87
1414,0.66
1415,0.78
1416,0.99
1417,0.97
1418,0.92
1419,1.0
1420,0.98
1421,0.99
1422,0.87
1423,1.0
1424,0.98
1425,0.39
1426,1.0
1427,1.0
1428,0.81
1429,0.92
1430,0.88
1431,0.79
1432,0.75
1433,0.69
1434,0.68
1435,0.96
1436,0.94
1437,0.76
1438,0.99
1439,0.92
1440,0.86
1441,0.91
1442,0.96
1443,0.89
1444,0.93
1445,0.84
1446,0.53
1447,0.53
1448,0.98
1449,0.97
1450,0.93
1451,0.84
1452,0.96
1453,0.97
1454,1.0
1455,0.98
1456,0.77
1457,1.0
1458,1.0
1459,0.89
1460,0.96
1461,0.59
1462,0.92
1463,0.93
1464,1.0
1465,0.77
1466,0.96
1467,0.95
1468,0.98
1469,0.99
1470,0.7
1471,0.99
1472,0.93
1473,0.91
1474,0.84
1475,0.98
1476,0.94
1477,0.71
1478,0.9
1479,0.97
1480,0.8
1481,0.82
1482,1.0
1483,0.19
1484,0.43
1485,0.97
1486,0.76
1487,0.85
1488,0.4
1489,0.72
1490,1.0
1491,0.9
1492,0.65
1493,0.94
1494,0.88
1495,0.92
1496,0.82
1497,0.96
1498,0.93
1499,0.92
1500,0.88
1501,0.85
1502,0.66
1503,0.99
1504,0.97
1505,0.97
1506,0.78
1507,0.935952380952381
1508,0.95
1509,0.98
1510,1.0
1511,0.91
1512,0.99
1513,0.99
1514,0.52
1515,1.0
1516,0.92
1517,0.95
1518,0.37
1519,0.81
1520,0.34
1521,1.0
1522,0.97
1523,0.74
1524,0.98
1525,0.59
1526,0.83
1527,0.71
1528,0.96
1529,0.84
1530,0.98
1531,0.91
1532,0.66
1533,0.87
1534,0.85
1535,0.27
1536,0.99
1537,0.52
1538,0.77
1539,0.85
1540,0.31
1541,0.84
1542,0.79
1543,0.93
1544,0.8
1545,0.99
1546,0.975
1547,0.97
1548,0.98
1549,0.97
1550,0.72
1551,0.89
1552,0.93
1553,0.97
1554,0.99
1555,0.94
1556,0.92
1557,1.0
1558,0.97
1559,0.99
1560,0.9
1561,0.58
1562,0.86
1563,0.97
1564,1.0
1565,0.99
1566,0.61
1567,0.98
1568,0.97
1569,0.89
1570,0.87
1571,0.97
1572,0.49
1573,0.99
1574,0.79
1575,0.5
1576,0.99
1577,0.97
1578,0.96
1579,0.84
1580,0.91
1581,0.98
1582,0.97
1583,0.48
1584,0.92
1585,0.87
1586,1.0
1587,0.91
1588,0.76
1589,0.94
1590,0.96
1591,0.89
1592,0.96
1593,0.81
1594,0.98
1595,1.0
1596,0.36
1597,0.89
1598,0.62
1599,0.71
1600,0.74
1601,0.78
1602,0.73
1603,0.88
1604,1.0
1605,0.84
1606,0.98
1607,0.71
1608,0.99
1609,0.8
1610,0.97
1611,1.0
1612,0.95
1613,0.74
1614,0.93
1615,0.84
1616,0.79
1617,0.96
1618,0.96
1619,0.98
1620,0.48
1621,0.99
1622,0.95
1623,0.95
1624,0.59
1625,0.55
1626,0.99
1627,0.93
1628,0.73
1629,0.95
1630,0.98
1631,0.32
1632,0.52
1633,0.95
1634,1.0
1635,0.86
1636,0.65
1637,0.99
1638,0.34
1639,0.8
1640,0.97
1641,1.0
1642,0.99
1643,0.98
1644,0.94
1645,0.78
1646,1.0
1647,0.91
1648,0.96
1649,0.93
1650,0.93
1651,0.95
1652,0.83
1653,0.26
1654,0.89
1655,1.0
1656,0.98
1657,0.98
1658,1.0
1659,0.82
1660,0.96
1661,0.85
1662,0.88
1663,1.0
1664,0.67
1665,0.94
1666,0.98
1667,0.95
1668,0.72
1669,0.3398333333333333
1670,0.96
1671,0.9
1672,0.79
1673,0.81
1674,0.92
1675,0.98
1676,0.96
1677,0.59
1678,1.0
1679,0.99
1680,0.88
1681,0.98
1682,0.84
1683,0.88
1684,0.95
1685,0.25
1686,0.96
1687,1.0
1688,0.73
1689,0.86
1690,0.5
1691,0.87
1692,1.0
1693,0.66
1694,0.82
1695,0.95
1696,0.74
1697,0.79
1698,0.96
1699,0.89
1700,0.99
1701,1.0
1702,1.0
1703,0.34
1704,0.88
1705,0.72
1706,0.87
1707,0.96
1708,0.75
1709,1.0
1710,0.86
1711,0.75
1712,0.29
1713,0.91
1714,1.0
1715,0.97
1716,0.93
1717,0.97
1718,0.93
1719,0.97
1720,0.88
1721,0.98
1722,0.97
1723,0.98
1724,0.66
1725,0.93
1726,0.57
1727,0.74
1728,1.0
1729,0.8
1730,0.83
1731,0.99
1732,0.98
1733,0.98
1734,0.96
1735,1.0
1736,0.86
1737,0.56
1738,0.97
1739,0.89
1740,1.0
1741,0.98
1742,0.87
1743,1.0
1744,0.93
1745,0.99
1746,0.95
1747,0.7
1748,0.9
1749,0.99
1750,0.98
1751,0.82
1752,1.0
1753,0.75
1754,0.8
1755,0.85
1756,0.85
1757,0.82
1758,0.85
1759,1.0
1760,1.0
1761,0.94
1762,0.99
1763,0.94
1764,0.89
1765,1.0
1766,0.92
1767,1.0
1768,0.96
1769,0.97
1770,0.99
1771,0.95
1772,0.72
1773,0.95
1774,0.74
1775,0.37
1776,0.98
1777,0.95
1778,0.89
1779,0.85
1780,0.97
1781,0.96
1782,0.98
1783,0.9
1784,0.88
1785,0.99
1786,0.94
1787,0.97
1788,0.08
1789,0.91
1790,0.65
1791,0.98
1792,0.94
1793,0.77
1794,0.99
1795,0.8
1796,0.97
1797,0.89
1798,1.0
1799,0.49
1800,0.87
1801,0.98
1802,0.94
1803,0.95
1804,0.97
1805,0.59
1806,1.0
1807,0.85
1808,0.99
1809,1.0
1810,0.78
1811,0.58
1812,0.96
1813,0.27
1814,0.91
1815,0.89
1816,1.0
1817,0.91
1818,0.93
1819,0.95
1820,0.41
1821,0.97
1822,0.87
1823,0.88
1824,0.82
1825,0.68
1826,0.99
1827,0.94
1828,0.96
1829,0.95
1830,0.54
1831,0.97
1832,0.8
1833,0.95
1834,0.65
1835,0.94
1836,0.95
1837,1.0
1838,0.56
1839,0.88
1840,0.82
1841,0.88
1842,0.98
1843,0.96
1844,0.82
1845,0.77
1846,0.81
1847,0.81
1848,0.95
1849,0.9925
1850,0.99
1851,1.0
1852,0.95
1853,0.84
1854,0.82
1855,0.84
1856,0.95
1857,0.78
1858,0.85
1859,0.84
1860,0.69
1861,0.88
1862,0.89
1863,0.99
1864,0.99
1865,0.88
1866,0.95
1867,0.58
1868,0.82
1869,1.0
1870,0.88
1871,0.88
1872,0.99
1873,0.96
1874,0.9
1875,0.91
1876,0.78
1877,0.98
1878,1.0
1879,0.66
1880,0.75
1881,0.95
1882,0.41
1883,0.8
1884,0.31
1885,1.0
1886,0.98
1887,0.94
1888,0.35
1889,0.91
1890,0.88
1891,0.96
1892,1.0
1893,0.9925
1894,0.98
1895,0.99
1896,0.51
1897,0.3
1898,0.64
1899,0.88
1900,0.99
1901,0.97
1902,0.99
1903,0.96
1904,0.41
1905,0.73
1906,0.8
1907,0.92
1908,0.98
1909,0.7
1910,0.94
1911,1.0
1912,0.95
1913,0.89
1914,0.61
1915,0.87
1916,1.0
1917,0.98
1918,0.91
1919,0.44
1920,0.04
1921,0.98
1922,0.55
1923,0.59
1924,0.92
1925,0.9
1926,0.66
1927,1.0
1928,0.88
1929,0.72
1930,0.57
1931,0.97
1932,0.99
1933,0.67
1934,0.96
1935,0.89
1936,0.79
1937,0.95
1938,0.47
1939,0.87
1940,0.96
1941,0.73
1942,0.91
1943,0.97
1944,0.7
1945,0.74
1946,0.95
1947,0.99
1948,0.68
1949,0.81
1950,0.91
1951,0.48
1952,0.95
1953,0.98
1954,1.0
1955,0.96
1956,0.83
1957,1.0
1958,0.5
1959,0.9
1960,0.91
1961,0.72
1962,0.89
1963,0.81
1964,0.92
1965,0.93
1966,0.91
1967,0.99
1968,0.95
1969,0.92
1970,0.86
1971,0.91
1972,0.59
1973,1.0
1974,0.82
1975,0.89
1976,0.93
1977,0.89
1978,0.92
1979,0.94
1980,0.96
1981,0.93
1982,0.35
1983,0.79
1984,0.98
1985,0.99
1986,0.65
1987,0.87
1988,0.99
1989,0.98
1990,0.94
1991,0.75
1992,0.87
1993,0.96
1994,0.5
1995,0.63
1996,0.92
1997,0.95
1998,0.94
1999,0.92
2000,0.95
2001,0.92
2002,0.91
2003,1.0
2004,0.91
2005,0.93
2006,0.77
2007,0.85
2008,0.75
2009,0.95
2010,0.9
2011,0.97
2012,1.0
2013,0.87
2014,0.95
2015,0.91
2016,0.99
2017,0.53
2018,0.95
2019,0.64
2020,0.56
2021,0.98
2022,1.0
2023,0.98
2024,0.38
2025,1.0
2026,0.66
2027,0.98
2028,0.45
2029,0.83
2030,0.93
2031,0.96
2032,1.0
2033,0.99
2034,0.98
2035,1.0
2036,1.0
2037,0.94
2038,0.84
2039,0.99
2040,0.98
2041,0.79
2042,0.9
2043,0.94
2044,0.97
2045,0.94
2046,1.0
2047,0.61
2048,0.9
2049,0.87
2050,0.9
2051,0.4
2052,0.48
2053,0.68
2054,0.98
2055,0.99
2056,0.87
2057,0.86
2058,0.99
2059,0.69
2060,0.77
2061,0.98
2062,0.72
2063,0.59
2064,1.0
2065,0.95
2066,0.66
2067,0.93
2068,0.86
2069,0.93
2070,0.92
2071,1.0
2072,0.95
2073,0.99
2074,0.97
2075,0.98
2076,0.97
2077,0.93
2078,0.91
2079,0.94
2080,0.94
2081,0.96
2082,0.92
2083,0.79
2084,0.8
2085,0.99
2086,0.97
2087,0.99
2088,0.99
2089,0.94
2090,0.94
2091,0.86
2092,0.72
2093,0.81
2094,1.0
2095,0.46
2096,0.71
2097,0.98
2098,0.99
2099,0.97
2100,0.77
2101,0.98
2102,0.97
2103,0.91
2104,1.0
2105,0.91
2106,1.0
2107,1.0
2108,0.97
2109,0.85
2110,0.47
2111,0.84
2112,0.95
2113,0.9
2114,0.82
2115,0.97
2116,0.91
2117,1.0
2118,0.44
2119,1.0
2120,0.81
2121,1.0
2122,1.0
2123,0.93
2124,0.78
2125,0.97
2126,0.7
2127,0.93
2128,0.88
2129,0.97
2130,1.0
2131,0.42
